eul_x; eul_y; eul_z; theta_ref; phi_ref; theta; phi; h0; h1; h2; h3
359.94;9.56;-8.94;0;0;13.0889;271.8724;837632;795904;873216;917248
0.44;13;-5.88;7.0714;0;14.2659;291.1182;839168;811776;869632;892160
0;16.81;-2.38;14.1429;0;16.9794;306.9594;841216;832768;872448;877312
359.06;20.87;1.56;21.2143;0;20.9334;318.3432;834304;856064;877568;867584
358.25;25.44;6.06;28.2857;0;26.15;326.6552;850944;881408;882176;857600
357.5;29.06;10.06;35.3571;0;30.7552;331.5977;860672;911104;888064;853248
356.94;32.38;13.94;42.4286;0;35.2476;335.2295;869888;940544;895232;848128
356.44;35.94;18.5;49.5;0;40.4197;338.6761;879616;997888;902400;841216
359.69;9;1.44;0;15;9.1141;323.7623;854528;798208;838656;899584
0.06;11.31;6.31;7.0714;15;12.9545;344.2245;862464;817152;834048;878848
359.94;13.56;10.69;14.1429;15;17.2674;353.1763;879360;837376;831232;867072
359.38;15.94;15.63;21.2143;15;22.3192;358.8078;889856;858880;829440;858880
358.81;18;20.56;28.2857;15;27.3279;2.6143;907264;886016;830464;851456
358.31;20.12;25.37;35.3571;15;32.3868;4.8944;927744;912896;832000;846336
357.38;21.37;31.19;42.4286;15;37.8094;7.9494;947456;942592;834816;841472
356.63;22.81;35.63;49.5;15;42.3031;8.9915;969216;999168;837632;837632
355.56;9.94;-1.12;0;30;10.001;304.1037;843264;793344;856576;908032
356.19;11.13;5;7.0714;30;12.197;335.3885;852736;804352;843264;887296
356.75;11.88;10.56;14.1429;30;15.8928;353.4023;863744;819968;835072;872448
357;13.81;15.63;21.2143;30;20.8549;0.5233;881408;838656;830208;863744
356.5;15.31;21.06;28.2857;30;26.0404;5.4827;899072;859648;825088;855552
355.75;16.44;26.19;35.3571;30;30.9189;8.6341;921088;884992;824064;850944
354.94;17.56;31.12;42.4286;30;35.738;10.5033;948736;912896;822016;845312
354.13;18.44;35.81;49.5;30;40.28;11.884;972032;940800;822528;840960
350.69;11.44;-4.31;0;45;12.2235;285.0286;837120;794112;863488;910592
351.31;11.31;1.75;7.0714;45;11.4471;315.1062;852736;801536;846848;894720
351.88;11.31;7.38;14.1429;45;13.5042;339.9767;858112;807680;835072;881664
352.25;10.94;13;21.2143;45;16.9891;357.1746;872448;818432;826624;874240
352.38;10.19;18.44;28.2857;45;21.0648;8.4525;894464;831744;817408;867328
351.94;9.81;23.56;35.3571;45;25.524;14.3284;921856;849408;811264;861696
351.19;9.44;28.62;42.4286;45;30.1406;17.9404;952576;869632;808704;862976
350.38;9.13;33.5;49.5;45;34.7205;20.138;986112;893184;806144;859136
343.31;11.13;-2.31;0;60;11.3628;286.57;845824;801024;864256;907264
343.81;9.94;3.06;7.0714;60;10.3987;315.9406;851968;803584;850944;899072
344.31;8.44;8.44;14.1429;60;11.9324;344.3125;864256;804608;840448;892672
344.31;6.5;13.13;21.2143;60;14.6464;2.9661;878592;809216;829696;888064
343.88;4.94;17.81;28.2857;60;18.4842;13.382;896768;816384;819456;883456
343.56;3.63;22.44;35.3571;60;22.7284;19.3851;925184;826624;812288;879872
343;2.44;26.81;42.4286;60;26.9231;22.8056;954624;839424;805888;879104
342.5;1.25;31.37;49.5;60;31.3999;25.2185;987392;854272;798976;876800
344.38;12.19;3;0;75;12.5513;313.2037;842752;798208;848640;893184
345;9.69;8.31;7.0714;75;12.765;340.6317;857344;801536;830464;883456
344.88;7.06;12;14.1429;75;13.924;359.3964;867840;807168;819200;879872
344.19;4.44;16.62;21.2143;75;17.207;14.2427;903168;813056;807936;877312
343.69;2.06;21.5;28.2857;75;21.5987;23.2079;930304;822016;801536;878336
343.19;0;26.19;35.3571;75;26.1875;28.1875;971520;836096;796416;881152
342.81;-1.81;30.69;42.4286;75;30.741;31.1926;1028608;849664;791296;883200
342.5;-3.69;35.06;49.5;75;35.2559;33.5037;1155584;865792;787456;887296
347.31;7.5;-1.63;0;90;7.674;290.0874;839424;786944;849152;903680
347.5;4.25;1.12;7.0714;90;4.3964;317.3265;850432;786176;833792;899584
347.31;0.69;4.31;14.1429;90;4.367;23.2546;866304;785408;822528;900352
347.13;-2.94;8.38;21.2143;90;8.8752;51.4531;886528;784384;810496;902656
346.88;-6.63;12.31;28.2857;90;13.9817;60.1584;918528;788992;802816;910080
