eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.56,10.69,6.00,0.0000,0.0000,12.2565,343.8725,1002752,897792,1487360,933120
359.75,14.81,9.63,7.0714,0.0000,17.6650,347.7654,1004544,916480,1485056,920576
359.63,18.31,12.69,14.1429,0.0000,22.2782,349.3405,1009664,939008,1488640,913408
359.44,22.25,16.75,21.2143,0.0000,27.8500,351.4103,1016064,962304,1493504,908800
359.38,26.37,20.94,28.2857,0.0000,33.6752,352.8189,1021952,984832,1499136,906496
359.38,29.37,24.37,35.3571,0.0000,38.1711,354.0605,1029376,1011200,1506816,903680
359.25,32.00,27.81,42.4286,0.0000,42.3973,355.2453,1039104,1039872,1516544,902400
359.13,34.31,31.19,49.5000,0.0000,46.3682,356.3935,1047296,1068032,1524480,901376
359.88,9.50,4.38,0.0000,15.0000,10.4590,339.6023,1001472,888576,1487616,939520
0.25,13.44,9.75,7.0714,15.0000,16.6021,351.2139,1006336,906240,1481472,926208
0.75,16.06,15.13,14.1429,15.0000,22.0629,359.0282,1013760,924928,1477888,918528
1.00,18.62,19.75,21.2143,15.0000,27.1469,2.6792,1021696,946688,1478656,912640
1.37,20.31,23.62,28.2857,15.0000,31.1567,5.6864,1027840,971008,1479168,907520
1.37,22.56,27.62,35.3571,15.0000,35.6680,7.1350,1044224,996352,1483264,905984
0.88,24.31,32.44,42.4286,15.0000,40.5375,9.0228,1056768,1022976,1486848,903936
0.56,25.81,36.63,49.5000,15.0000,44.8071,10.3872,1067264,1054720,1492224,902656
0.81,8.50,5.44,0.0000,30.0000,10.0904,348.4198,1002240,885760,1485056,940288
1.25,10.31,11.69,7.0714,30.0000,15.5867,4.8263,1011456,900096,1473536,929280
1.63,12.13,18.06,14.1429,30.0000,21.7548,12.7523,1021440,916736,1465600,920064
2.06,13.13,23.56,21.2143,30.0000,26.9714,17.9434,1033728,935936,1462784,915456
2.56,13.94,29.12,28.2857,30.0000,32.2881,21.9895,1050624,960256,1462016,912640
3.00,14.56,32.81,35.3571,30.0000,35.8988,24.0679,1067008,982784,1461504,910336
