eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.81,1.19,-0.69,0.0000,0.0000,1.3722,284.7439,904704,1055488,932864,890368
359.88,5.81,2.56,7.0714,0.0000,6.3523,338.6658,907776,1074432,932352,877312
359.94,9.69,4.63,14.1429,0.0000,10.7349,340.4582,911872,1095424,932608,867584
359.63,14.13,8.00,21.2143,0.0000,16.2332,344.1510,920320,1119488,935424,861184
359.38,17.81,11.00,28.2857,0.0000,20.9353,346.0722,929024,1145344,941568,858112
359.19,21.62,14.19,35.3571,0.0000,25.8636,347.4552,937472,1169408,946432,855040
359.00,25.44,17.37,42.4286,0.0000,30.8051,348.3349,946944,1196800,952832,853248
358.81,28.56,20.50,49.5000,0.0000,35.1577,349.4804,959488,1230336,961792,853248
356.75,2.63,0.63,0.0000,15.0000,2.6984,325.1425,903680,1057536,931840,887040
356.81,6.31,5.38,7.0714,15.0000,8.2909,352.2264,910336,1073152,925184,874752
356.94,9.63,9.81,14.1429,15.0000,13.7450,357.4902,919808,1092608,923392,867328
357.06,12.13,13.63,21.2143,15.0000,18.2389,0.3964,934144,1114368,923648,862720
357.13,15.00,17.12,28.2857,15.0000,22.7654,0.9095,944896,1135616,923648,859392
357.13,17.50,21.19,35.3571,15.0000,27.4802,2.5697,963584,1164800,926976,858624
357.00,20.19,25.19,42.4286,15.0000,32.2792,3.2882,977152,1193472,930816,856576
356.88,22.25,28.69,49.5000,15.0000,36.3048,4.0779,995840,1225472,935680,856576
356.56,2.69,0.69,0.0000,30.0000,2.7740,325.9118,898560,1053184,929536,885760
356.75,4.88,6.69,7.0714,30.0000,8.2758,5.6590,911360,1069568,922368,876544
356.94,6.69,11.75,14.1429,30.0000,13.5198,12.2912,926720,1085184,916736,869376
357.19,8.88,16.81,21.2143,30.0000,19.0112,14.3588,942592,1104384,913408,865280
357.56,10.31,21.06,28.2857,30.0000,23.4516,16.4755,961280,1125632,912896,864000
357.88,12.00,25.12,35.3571,30.0000,27.8436,17.3453,979968,1147904,912384,862464
358.19,13.63,29.25,42.4286,30.0000,32.2677,18.2108,1003776,1178624,914944,862208
358.44,15.06,33.19,49.5000,30.0000,36.4457,19.0261,1028608,1210624,917760,862976
358.88,4.88,0.75,0.0000,45.0000,4.9324,322.6212,897024,1056256,931072,882176
359.19,5.50,7.31,7.0714,45.0000,9.1500,7.2393,911872,1067008,919296,875008
359.44,6.19,13.44,14.1429,45.0000,14.7936,19.7131,930304,1081856,913152,871168
359.69,7.06,19.12,21.2143,45.0000,20.3874,24.4193,950784,1097984,908800,868096
359.88,7.75,24.31,28.2857,45.0000,25.5178,27.1945,970240,1116672,906240,867072
0.12,8.00,28.87,35.3571,45.0000,29.9627,29.6393,997120,1137408,904192,867584
0.19,8.75,33.31,42.4286,45.0000,34.4425,30.4704,1023232,1161216,903936,867840
0.25,9.38,37.44,49.5000,45.0000,38.5935,31.1913,1054464,1190400,905216,870144
358.06,3.13,1.25,0.0000,60.0000,3.3657,334.8639,897280,1051648,927488,882432
358.25,2.75,7.81,7.0714,60.0000,8.2824,23.8579,916736,1060096,916224,879360
358.38,2.31,13.81,14.1429,60.0000,14.0047,33.8706,935680,1069312,908288,875776
358.38,2.00,19.56,21.2143,60.0000,19.6645,37.5376,948480,1081088,902400,873472
358.44,1.63,23.94,28.2857,60.0000,23.9926,39.5539,977920,1095168,898304,873216
358.50,1.25,27.25,35.3571,60.0000,27.2787,40.8736,1005824,1113344,897280,875520
358.38,0.31,31.19,42.4286,60.0000,31.1891,42.8009,1035008,1130496,894464,877824
358.25,-0.12,35.06,49.5000,60.0000,35.0627,43.4543,1068288,1153024,894464,881664
357.75,2.13,1.37,0.0000,75.0000,2.5311,345.6553,898048,1049600,926208,883200
357.81,0.44,7.13,7.0714,75.0000,7.1384,39.2987,916224,1053184,913664,881920
357.69,-1.44,12.25,14.1429,75.0000,12.3341,49.3804,937472,1059584,906240,882176
357.31,-3.19,17.12,21.2143,75.0000,17.4191,52.8564,959232,1066752,898816,882432
357.06,-5.19,21.31,28.2857,75.0000,21.9347,55.7424,984576,1076736,894208,884480
357.06,-6.19,25.62,35.3571,75.0000,26.3614,55.6375,1011968,1090048,891904,887808
357.06,-7.44,29.75,42.4286,75.0000,30.6656,56.0988,1039104,1100544,888576,891136
357.13,-8.69,33.69,49.5000,75.0000,34.7897,56.5857,1067264,1112576,885504,894976
359.44,2.69,2.81,0.0000,90.0000,3.8901,0.7394,897024,1049344,922368,878080
359.63,-0.75,8.13,7.0714,90.0000,8.1595,49.8989,915712,1049088,910336,880896
359.69,-4.00,12.81,14.1429,90.0000,13.4224,62.0256,935936,1051648,902656,883712
359.44,-6.56,16.31,21.2143,90.0000,17.5831,66.3524,954112,1053440,895488,885760
359.13,-9.44,19.44,28.2857,90.0000,21.6075,70.0230,977408,1058304,891648,891648
359.00,-12.06,23.19,35.3571,90.0000,26.1374,71.4842,1003008,1065216,888832,897792
358.81,-14.31,26.62,42.4286,90.0000,30.2281,72.0731,1028608,1071872,886016,903936
358.69,-16.62,30.12,49.5000,90.0000,34.4079,72.5804,1058560,1079552,884480,911872
359.69,1.75,1.25,0.0000,105.0000,2.1506,350.2252,893184,1043968,923136,879616
359.81,-2.56,5.31,7.0714,105.0000,5.8982,70.5630,909312,1039104,911104,884224
359.75,-7.25,8.56,14.1429,105.0000,11.2196,85.0051,925184,1038592,905728,890880
359.50,-11.38,11.50,21.2143,105.0000,16.1753,89.1869,943104,1037312,899072,897280
359.13,-15.00,13.69,28.2857,105.0000,20.3063,91.7445,963328,1037056,894208,905216
358.88,-18.81,16.37,35.3571,105.0000,24.9409,92.8376,985856,1038848,891136,914944
358.63,-22.06,19.19,42.4286,105.0000,29.2389,92.6119,1009920,1041408,888576,925184
358.31,-25.37,21.94,49.5000,105.0000,33.5432,92.4681,1037824,1046016,887296,937728
357.69,3.06,2.06,0.0000,120.0000,3.6923,346.6466,891136,1047552,923904,876288
357.88,-2.38,4.81,7.0714,120.0000,5.3666,69.1416,906752,1038848,911616,883456
357.94,-8.00,6.94,14.1429,120.0000,10.5891,92.0061,922368,1034240,905984,892160
357.94,-13.44,8.63,21.2143,120.0000,15.9674,100.2427,938752,1029888,900608,902144
357.94,-18.06,10.06,28.2857,120.0000,20.6763,103.8156,956672,1028352,897536,915200
357.81,-22.31,11.75,35.3571,120.0000,25.2173,105.0407,977664,1027840,895488,929024
