eul_x; eul_y; eul_z; theta_ref; phi_ref; theta; phi; h0; h1; h2; h3
359.94;6.13;-0.56;0;0;6.1508;309.6904;943360;1474816;956416;1126400
0.19;10.69;3.44;7.0714;0;11.2267;333.0173;973568;1513728;959232;1108480
0.31;13.75;6;14.1429;0;15.0021;338.8872;1006592;1549568;963584;1098240
0.31;17.44;9.25;21.2143;0;19.739;343.2569;1046784;1591296;971264;1089024
0.19;21.44;12.94;28.2857;0;25.0389;346.2984;1107456;1643520;980992;1089792
359.94;25.12;16.56;35.3571;0;30.0929;348.3305;1171456;1706752;993024;1083648
359.75;28.81;20.31;42.4286;0;35.2528;349.9334;1234688;1768960;1006080;1075200
359.56;32.69;24.81;49.5;0;41.0382;351.764;1306624;1854976;1021952;1070848
1.19;5.31;0;0;15;5.3125;316.1875;953856;1469440;956416;1138944
1.44;9.06;5.06;7.0714;15;10.3806;345.6261;1003520;1508864;955648;1120000
1.69;11.94;9.19;14.1429;15;15.0637;354.2706;1054720;1545216;956160;1110272
1.75;15.44;13.06;21.2143;15;20.2224;356.9864;1110016;1580288;959232;1104384
1.5;18.62;17.37;28.2857;15;25.4712;359.5114;1181696;1630464;964096;1094656
1.25;21.75;21.62;35.3571;15;30.6709;1.0849;1259776;1689856;969728;1089536
1;24.5;25.94;42.4286;15;35.6792;2.6325;1335808;1750784;976640;1081344
0.81;27;30.12;49.5;15;40.4539;3.9437;1429504;1809664;983808;1077504
0.37;5.63;1;0;30;5.7132;325.4556;921600;1460480;954112;1134080
0.63;7.56;6.31;7.0714;30;9.8508;355.4771;981760;1494016;945920;1115904
0.88;10.13;10.75;14.1429;30;14.7675;2.5899;1056000;1530368;946432;1110272
0.63;12.69;15.56;21.2143;30;20.0789;6.436;1137920;1566976;946688;1107200
0.25;14.88;20.56;28.2857;30;25.3788;9.3679;1223680;1607680;945152;1097984
359.88;16.69;25.25;35.3571;30;30.2661;11.4146;1335552;1665280;948224;1096960
359.38;18.44;30.06;42.4286;30;35.2661;12.854;1452288;1721856;949504;1092096
358.81;19.87;34.69;49.5;30;39.978;14.0009;1575936;1781248;954112;1090816
354.5;4.25;2.31;0;45;4.8384;338.0514;918272;1456128;950016;1136640
