eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.81,3.56,-6.56,0.0000,0.0000,7.4671,253.3081,862720,961280,1077248,961792
0.06,6.56,-3.44,7.0714,0.0000,7.4083,287.4165,863232,976896,1076736,949504
359.75,10.94,0.25,14.1429,0.0000,10.9404,316.0594,865792,994304,1078016,943104
359.31,15.38,4.63,21.2143,0.0000,16.0556,331.0545,870144,1016064,1081344,935424
358.81,19.56,9.00,28.2857,0.0000,21.5335,338.5180,874240,1043456,1087744,931328
358.38,23.12,12.94,35.3571,0.0000,26.4980,342.6003,880896,1069056,1092608,927744
358.00,26.44,16.94,42.4286,0.0000,31.3978,345.6462,891648,1102592,1101056,926976
357.63,29.69,21.06,49.5000,0.0000,36.4002,347.9797,902400,1138176,1110528,925440
358.81,5.69,-4.69,0.0000,15.0000,7.3702,274.3180,857600,965632,1075968,958208
359.19,8.44,0.75,7.0714,15.0000,8.4708,319.2671,862464,981248,1072640,945152
359.56,10.63,5.94,14.1429,15.0000,12.1715,343.7600,869376,996608,1070080,939008
359.94,12.81,10.19,21.2143,15.0000,16.3690,353.4265,879104,1017600,1072128,934656
0.37,15.13,14.88,28.2857,15.0000,21.2139,359.8976,888832,1041152,1074176,931584
0.94,17.19,19.31,35.3571,15.0000,25.8531,4.2695,904704,1071872,1077504,930560
1.37,19.06,23.81,42.4286,15.0000,30.5027,7.6969,918528,1101312,1080320,927744
1.50,20.94,27.69,49.5000,15.0000,34.7128,9.4031,935168,1136640,1086464,928256
358.69,4.88,-3.94,0.0000,30.0000,6.2665,274.7600,860416,963584,1074944,960000
358.94,5.75,2.13,7.0714,30.0000,6.1301,334.2201,863744,976384,1067264,950272
359.25,6.81,7.25,14.1429,30.0000,9.9485,1.0320,879616,994048,1064704,945664
359.56,8.25,12.88,21.2143,30.0000,15.2914,11.9117,892672,1012224,1062912,939520
359.94,9.81,18.56,28.2857,30.0000,20.9965,17.0757,906496,1034240,1061888,938496
0.25,11.06,23.25,35.3571,30.0000,25.7476,19.8046,925696,1062144,1064704,935680
0.12,12.00,27.62,42.4286,30.0000,30.1188,21.6454,944128,1091328,1067008,936960
359.63,13.13,31.94,49.5000,30.0000,34.5293,22.2844,965376,1124096,1069056,936192
356.94,8.13,-1.06,0.0000,45.0000,8.1942,304.4873,857856,973312,1075712,952064
357.31,7.63,4.69,7.0714,45.0000,8.9506,343.8938,864768,981504,1066240,943872
357.75,6.88,10.38,14.1429,45.0000,12.4461,9.2195,881152,993024,1061376,942848
358.13,6.44,16.00,21.2143,45.0000,17.2465,21.2079,898048,1007616,1058304,941312
358.44,6.25,21.19,28.2857,45.0000,22.0901,27.0022,915712,1024768,1056768,940288
358.75,6.13,26.12,35.3571,45.0000,26.8334,30.5553,937472,1046528,1056512,940800
358.94,6.00,30.69,42.4286,45.0000,31.2686,32.8746,960512,1072640,1056512,941056
359.25,5.88,34.69,49.5000,45.0000,35.1815,34.6371,984320,1098496,1057536,944128
357.19,4.81,-3.25,0.0000,60.0000,5.8071,278.1554,858112,961024,1073152,954880
357.38,3.38,2.63,7.0714,60.0000,4.2757,350.2500,871936,968960,1062656,953856
357.44,1.81,7.94,14.1429,60.0000,8.1418,29.5747,886784,978176,1056256,949760
357.31,0.06,13.50,21.2143,60.0000,13.5001,42.0472,904704,988928,1052160,951552
357.13,-1.06,18.81,28.2857,60.0000,18.8425,45.3575,922880,1001728,1047808,948224
356.94,-2.06,23.19,35.3571,60.0000,23.2790,47.0205,943360,1016832,1046016,948736
356.81,-3.50,27.69,42.4286,60.0000,27.9078,49.0171,970240,1035264,1045504,951040
356.75,-4.56,31.81,49.5000,60.0000,32.1380,49.9116,996864,1057024,1046528,954624
359.50,4.75,-2.75,0.0000,75.0000,5.4886,284.4314,859648,962560,1073664,958464
359.69,2.00,2.69,7.0714,75.0000,3.3500,8.0314,873984,967168,1061120,955392
359.75,-0.50,7.44,14.1429,75.0000,7.4543,48.5960,892416,974592,1054464,956928
359.50,-3.25,12.00,21.2143,75.0000,12.4323,59.6541,913152,983552,1049344,954112
359.13,-5.56,16.44,28.2857,75.0000,17.3532,62.8210,934144,992512,1045504,957440
358.88,-7.69,21.12,35.3571,75.0000,22.4803,63.8717,957184,1004544,1042688,959744
358.94,-9.81,25.56,42.4286,75.0000,27.3811,64.9374,984320,1018624,1040896,962048
359.06,-11.50,29.69,49.5000,75.0000,31.8370,65.2373,1010432,1034240,1040640,966656
1.19,3.44,-4.44,0.0000,90.0000,5.6132,263.9506,857088,957952,1074944,959232
1.12,-0.69,-0.25,7.0714,90.0000,0.7315,156.1081,871936,958976,1063168,962560
1.12,-4.88,3.44,14.1429,90.0000,5.9651,100.9363,889856,961024,1054720,962304
1.19,-8.81,7.44,21.2143,90.0000,11.5315,96.0241,904704,962816,1047040,967168
1.25,-12.63,11.50,28.2857,90.0000,17.0775,93.9199,932352,969472,1044480,972288
1.37,-16.00,15.25,35.3571,90.0000,22.1035,92.7498,955136,976128,1042176,978432
1.44,-19.25,19.06,42.4286,90.0000,27.0914,91.7179,978944,982528,1039360,983040
1.50,-22.12,22.56,49.5000,90.0000,31.6003,90.9391,1005824,992000,1038080,990976
1.31,2.31,-4.06,0.0000,105.0000,4.6746,255.9624,856064,954880,1071616,958720
